City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,Firminy,FR,45.3873,4.2907,79.3,36,0,2.3,clear sky
220,Lipari,IT,38.4674,14.954,81.32,75,0,4.76,clear sky
221,Cherskiy,RU,68.75,161.3,56.21,50,46,7.31,scattered clouds
222,Maxixe,MZ,-23.8597,35.3472,67.53,90,3,2.33,clear sky
223,Gidam,IN,18.9833,81.4,72.1,96,98,3.78,overcast clouds
224,Khatanga,RU,71.9667,102.5,52.77,75,100,2.46,overcast clouds
225,Mareeba,AU,-17.0,145.4333,58.44,92,3,2.35,clear sky
226,Portland,US,45.5234,-122.6762,78.46,55,0,5.01,clear sky
227,Camaqua,BR,-30.8511,-51.8122,51.58,91,0,2.51,clear sky
228,Tuatapere,NZ,-46.1333,167.6833,44.94,89,100,1.36,overcast clouds
229,Porto Recanati,IT,43.4365,13.6613,78.24,58,0,5.14,clear sky
230,Port Keats,AU,-14.25,129.55,64.62,81,12,5.57,few clouds
231,Klyuchi,RU,52.2667,79.1667,58.55,66,3,7.94,clear sky
232,Northam,GB,51.0333,-4.2167,78.62,41,50,9.31,scattered clouds
233,Tual,ID,-5.6667,132.75,79.11,82,36,19.53,scattered clouds
234,Cockburn Town,TC,21.4612,-71.1419,85.96,62,40,12.66,scattered clouds
235,Basco,PH,20.4487,121.9702,84.78,79,61,14.72,broken clouds
236,Maryborough,AU,-25.5333,152.7,52.75,79,81,4.72,broken clouds
237,Lagoa,PT,39.05,-27.9833,69.96,88,98,12.26,overcast clouds
238,Le Vauclin,MQ,14.5452,-60.8388,84.25,65,40,13.8,scattered clouds
239,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,88,41,3.09,scattered clouds
240,Ponta Do Sol,PT,32.6667,-17.1,73.0,81,13,4.07,few clouds
241,Ostrovnoy,RU,68.0531,39.5131,54.09,89,8,9.42,clear sky
242,Mount Isa,AU,-20.7333,139.5,55.17,47,0,5.75,clear sky
243,Gobabis,NA,-22.45,18.9667,50.11,44,0,12.44,clear sky
244,Nemuro,JP,43.3236,145.575,60.46,99,100,5.77,overcast clouds
245,Winneba,GH,5.3511,-0.6231,74.19,84,97,10.42,overcast clouds
246,Antalaha,MG,-14.9003,50.2788,67.3,85,97,9.84,light rain
247,Bontang,ID,0.1333,117.5,78.48,84,100,0.96,overcast clouds
248,Campina Grande,BR,-7.2306,-35.8811,67.68,96,78,10.63,broken clouds
249,Asau,RO,46.4333,26.4,61.95,71,99,2.95,overcast clouds
250,Sena Madureira,BR,-9.0656,-68.6569,87.6,51,49,2.28,scattered clouds
