City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Lianran,CN,2022-07-13 21:12:41,24.9227,102.485,62.98,93,3,2.19
113,Saldanha,ZA,2022-07-13 21:12:41,-33.0117,17.9442,57.2,88,100,10.85
114,Menongue,AO,2022-07-13 21:12:41,-14.6585,17.691,53.47,48,0,4.99
115,Stornoway,GB,2022-07-13 21:12:42,58.2093,-6.3865,52.93,86,75,4.61
116,Klaksvik,FO,2022-07-13 21:12:42,62.2266,-6.589,47.32,76,73,8.99
117,Znamensk,RU,2022-07-13 21:12:42,48.5842,45.7338,78.33,52,98,6.49
118,East London,ZA,2022-07-13 21:10:00,-33.0153,27.9116,60.06,74,0,5.66
119,Tsaratanana,MG,2022-07-13 21:12:43,-16.7833,47.65,64.44,72,3,10.18
120,Cururupu,BR,2022-07-13 21:12:43,-1.8283,-44.8683,76.68,90,100,4.76
121,Souillac,MU,2022-07-13 21:12:43,-20.5167,57.5167,69.03,76,66,14.23
122,Sept-Iles,CA,2022-07-13 21:12:44,50.2001,-66.3821,63.43,55,78,11.41
123,Antalaha,MG,2022-07-13 21:12:44,-14.9003,50.2788,66.99,86,54,7.54
124,Plettenberg Bay,ZA,2022-07-13 21:12:44,-34.0527,23.3716,56.52,60,12,8.72
125,Ndago,TZ,2022-07-13 21:12:45,-4.6,34.35,63.05,43,32,11.79
126,Prado,BR,2022-07-13 21:12:45,-17.3411,-39.2208,71.46,85,9,5.12
127,Kasempa,ZM,2022-07-13 21:12:45,-13.4584,25.8338,59.92,50,55,7.54
128,Kindu,CD,2022-07-13 21:12:45,-2.95,25.95,77.45,53,88,2.08
129,Ochamchira,GE,2022-07-13 21:12:46,42.7121,41.4721,72.25,78,90,2.28
130,Mbanza-Ngungu,CD,2022-07-13 21:12:46,-5.25,14.8667,68.68,68,10,4.21
131,Kartarpur,IN,2022-07-13 21:12:46,31.44,75.4997,88.48,60,52,7.09
132,Zhanaozen,KZ,2022-07-13 21:12:47,43.3,52.8,88.45,21,0,17.4
133,Krasnoselkup,RU,2022-07-13 21:12:47,65.7,82.4667,54.25,55,100,7.52
134,Fort Nelson,CA,2022-07-13 21:12:47,58.8053,-122.7002,63.34,43,100,7.36
135,Ust-Tarka,RU,2022-07-13 21:12:48,55.5672,75.705,55.76,95,79,3.85
136,Nicoya,CR,2022-07-13 21:13:48,10.1483,-85.452,81.39,80,100,2.66
137,Salinopolis,BR,2022-07-13 21:09:16,-0.6136,-47.3561,79.18,85,92,12.53
